,symbols,threshold_at_95
0,AAPL,4.28
1,AB,5.337499999999999
2,ABT,4.295
3,ACC,5.1114999999999995
4,ADBE,4.135
5,ADC,4.136499999999999
6,AGIO,6.1735
7,AKAM,3.6635
8,AL,8.021999999999998
9,ALGN,5.664
10,ALL,3.9475
11,ALLY,6.2509999999999994
12,AMED,4.921499999999998
13,AMP,5.7940000000000005
14,AMT,4.625
15,AOS,3.701
16,AQN,4.199999999999999
17,ARE,4.197
18,ASX,3.755499999999999
19,AU,6.269499999999999
20,AUY,6.482999999999999
21,AWI,4.941499999999998
22,AXS,4.193999999999999
23,BHVN,7.904499999999998
24,BMY,2.6639999999999997
25,BNS,3.3954999999999993
26,BYD,7.457999999999998
27,CAE,6.318
28,CAJ,2.0244999999999997
29,CARG,5.754999999999999
30,CARR,8.295
31,CCI,4.154499999999999
32,CDK,3.948999999999999
33,CENT,4.0835
34,CHDN,7.987999999999998
35,CHTR,3.3739999999999997
36,CLH,6.443999999999999
37,CLX,2.9124999999999988
38,CMA,6.5535
39,CMS,4.505999999999999
40,CNA,4.906499999999999
41,COG,5.989499999999997
42,COP,5.301
43,CPA,8.387
44,CPB,4.491499999999999
45,CR,4.542
46,CSGP,4.806999999999999
47,CVS,3.3244999999999996
48,CW,4.7174999999999985
49,CWST,5.1635
50,DD,4.449499999999999
51,DDOG,6.863999999999997
52,DNKN,5.0205
53,DRE,4.375
54,EBR,7.066999999999999
55,EFX,3.988999999999999
56,EIX,4.705499999999999
57,ENS,5.315499999999999
58,EPD,4.515999999999999
59,EPR,8.5195
60,EQR,4.685
61,EQX,6.970499999999998
62,ES,5.2405
63,EVTC,4.3505
64,F,5.1735
65,FGEN,7.136999999999998
66,FLO,2.8314999999999984
67,FVRR,7.581499999999998
68,GDDY,4.5504999999999995
69,HALO,5.052999999999997
70,HBAN,5.837999999999999
71,HDB,3.8924999999999983
72,HEI,4.679499999999999
73,HIW,4.526999999999999
74,HOMB,6.7545
75,HSBC,1.9209999999999996
76,HTHT,5.214499999999999
77,IBKC,7.951499999999999
78,IDXX,4.731
79,IMO,7.293999999999999
80,INSM,7.640499999999999
81,INTU,4.0245
82,IPHI,4.8375
83,IR,4.497999999999999
84,ISRG,4.1214999999999975
85,IT,3.8319999999999994
86,JBHT,3.831
87,JBLU,7.629499999999999
88,JCOM,4.4079999999999995
89,JKHY,4.1415
90,JNJ,3.4554999999999993
91,KLAC,5.2749999999999995
92,KMX,5.627999999999998
93,LITE,5.4129999999999985
94,LLY,3.5134999999999987
95,LSCC,4.8445
96,MCD,3.1179999999999994
97,MDU,4.212
98,MELI,5.7669999999999995
99,MMP,4.754
100,MPW,5.1069999999999975
101,MRVL,4.577
102,MS,4.3934999999999995
103,MT,4.5074999999999985
104,MYOK,6.392499999999998
105,NDSN,4.4670000000000005
106,NEE,3.782499999999999
107,NFLX,4.4544999999999995
108,NOK,3.2939999999999996
109,NOMD,3.5319999999999983
110,NVCR,7.280000000000001
111,O,4.426999999999996
112,ORLY,3.5509999999999993
113,OSTK,14.75
114,PAA,7.888499999999997
115,PBR,5.441
116,PE,7.7239999999999975
117,PFPT,4.577
118,PHM,5.031
119,PINS,6.685999999999998
120,PLD,4.947
121,POL,5.64
122,PPD,7.987999999999988
123,PRU,4.8039999999999985
124,PS,7.141500000000001
125,PYPL,4.4575
126,QDEL,8.206999999999997
127,QGEN,2.3605
128,QTWO,5.289499999999999
129,RARE,7.026999999999999
130,REGN,4.6305
131,RL,5.39
132,ROK,3.8100000000000005
133,RXN,5.518
134,SAFM,4.765499999999999
135,SCL,4.0809999999999995
136,SF,5.645
137,SIRI,3.7175
138,SLM,4.414999999999999
139,SPOT,5.4415
140,SRPT,4.7505
141,SSNC,3.917
142,STAY,5.6370000000000005
143,STLD,4.775999999999999
144,TDC,5.320499999999999
145,TER,4.74
146,TFX,4.5405
147,TM,1.6709999999999996
148,TPH,7.827499999999999
149,TROW,4.683999999999999
150,TRUP,7.773999999999999
151,TTD,7.509499999999999
152,TWST,8.320999999999998
153,TWTR,5.1605
154,UA,6.278499999999999
155,UHAL,4.24
156,UMC,3.459499999999998
157,UMPQ,5.625499999999999
158,VMW,3.4574999999999996
159,WAT,3.8629999999999987
160,WBK,3.6639999999999997
161,WCC,7.3504999999999985
162,WELL,6.4304999999999986
163,WIT,2.925
164,WWD,6.7379999999999995
165,ZEN,5.549999999999997
166,ZION,5.0835
